"Mainstream National Schools 2009-2010 School Year.",,,,,,,,
"Schools in red have since closed",,,"Enrolment as on 30th September 2009",,,,,
"COUNTY","Roll No.","SCHOOL","ADDRESS 1","ADDRESS 2","TEL. NO.","GIRLS","BOYS","TOTAL"
"DUBLIN CITY","19308J","ST BRIGIDS BOYS N S","HOWTH ROAD","KILLESTER",18336149,0,397,397
"DUBLIN CITY","19309L","SCOIL NEASAIN","BAILE HARMAIN","BAILE ATH CLIATH 5",18316338,131,116,247
"DUBLIN CITY","19395H","SCOIL MOBHI","BOTHAR MOBHI","GLASNAOIN",18379591,137,124,261
"DUBLIN CITY","19406J","HOLY TRINITY SEN N S","GRANGE ROAD","DONAGHMEDE",18474695,153,175,328
"DUBLIN CITY","19430G","SCOIL AN TSEACHTAR LAOCH","BALLYMUN ROAD","DUBLIN 11",18425725,100,96,196
"DUBLIN CITY","19431I","ST JOSEPHS JNR","BALCURRIS","BALLYMUN",18421801,71,67,138
"DUBLIN CITY","19454U","DARNDALE NS JUNIOR","OUR LADY IMMAC JUN NS","DARNDALE",18476643,108,135,243
"DUBLIN CITY","19471U","ST PAULS JUNIOR NATIONAL SCHOOL","AYRFIELD","MALAHIDE RD",18470479,117,125,242
"DUBLIN CITY","19473B","SCOIL BHRIDE","DONAGHMEDE","DUBLIN 13",18470014,145,180,325
"DUBLIN CITY","19480V","ST PATRICKS","ST PATRICKS CLOSE","DUBLIN 8",14540588,4,13,17
"DUBLIN CITY","19489Q","SN NAOMH FINNIN","GLENTIES PARK","RIVERMOUNT",18341130,85,127,212
"DUBLIN CITY","19496N","SCOIL FHIACHRA SOISIR","BEAUMONT","DUBLIN 5",18472367,306,313,619
"DUBLIN CITY","19524P","OUR LADY IMMAC SEN N S","OUR LADY IMMAC SEN NS","DARNDALE",18470749,98,138,236
"DUBLIN CITY","19538D","ST KEVINS JUNIOR N S","NEWBROOK AVE","DONAGHMEDE",18475969,48,63,111
"DUBLIN CITY","19546C","ST OLIVER PLUNKETT N S","ST OLIVER PLUNKETT NS","ST HELENAS DRIVE",18344678,61,74,135
"DUBLIN CITY","19583I","ST JOSEPHS SENIOR N S","ST JOSEPHS SENIOR NS","BALCURRIS",18422600,90,89,179
"DUBLIN CITY","19589U","GAELSCOIL INSE CHOR","DROICHEAD NA HINSE","BAILE ATHA CLIATH 8",16796748,102,130,232
"DUBLIN CITY","19611K","SCOIL NAOMH COLMCILLE","NEWBROOK RD","DONAGHMEDE",18477300,46,84,130
"DUBLIN CITY","19618B","ST PAULS SEN NS","AYRFIELD","MALAHIDE RD",18472810,119,110,229
"DUBLIN CITY","19619D","ST MALACHYS NS","RIVERMOUNT","FINGLAS",18345875,55,86,141
"DUBLIN CITY","19628E","ST FIACHRAS SEN N S","BEAUMONT","MONTROSE",18477762,308,347,655
"DUBLIN CITY","19661C","ST GABRIELS NS","DOMINICAN CAMPUS","BALLYFERMOT",16260578,163,49,212
"DUBLIN CITY","19662E","ST MICHAELS NS","DOMINICAN CONVENT","BALLYFERMOT",16263556,223,83,306
"DUBLIN CITY","19663G","ST RAPHAELS NS","DOMINICAN CONVENT","BALLYFERMOT",16265953,162,74,236
"DUBLIN CITY","19668Q","ST FRANCIS SENIOR N S","PRIORSWOOD","DUBLIN 17",18470656,103,109,212
"DUBLIN CITY","19669S","LADY OF GOOD COUNSEL NS","MOURNE RD","DRIMNAGH",14551672,0,171,171
"DUBLIN CITY","19727G","ST MARYS CENTRAL N S","BELMONT AVENUE","DONNYBROOK",12692578,123,133,256
"DUBLIN CITY","19764M","OUR LADY OF WAYSIDE N S","BLUEBELL","INCHICORE",14501030,48,57,105
"DUBLIN CITY","19766Q","SCOIL IOSAGAIN/MHUIRE","MOUNT LA SALLE","BALLYFERMOT",16267527,0,181,181
"DUBLIN CITY","19767S","SCOIL MHUIRE/SEOSAMH","MOUNT LA SALLE","BALLYFERMOT",16267527,0,159,159
"DUBLIN CITY","19774P","ST JOSEPHS MXD N S","EAST WALL","DUBLIN 3",18556284,75,106,181
"DUBLIN CITY","19777V","GAELSCOIL MIDE","BOTHAR AN GHLEANTAIN","GHLAIS CILL BHARROG",18393968,114,117,231
"DUBLIN CITY","19831B","SCOIL CHAOIMHIN","SRAID MHAOILBHRIDE","BAILE ATHA CLIATH 1",18788594,20,27,47
"DUBLIN CITY","19837N","DRIMNAGH CASTLE CBS N S","DRIMNAGH CASTLE","DUBLIN 12",14552066,0,446,446
"DUBLIN CITY","19845M","NORTH DUBLIN NS PROJECT","BALLYMUN ROAD","DUBLIN 9",18371620,97,117,214
"DUBLIN CITY","19889J","SCOIL COLM","ARMAGH ROAD","CRUMLIN",14562622,0,163,163
"DUBLIN CITY","19895E","SCOIL MHUIR S IOSAF","ST MARYS PLACE","PLAS MHUIRE",18300841,108,0,108
"DUBLIN CITY","19896G","SCOIL CAITRIONA NA MBRAITHRE","BAGGOT ST","DUBLIN 2",16766132,38,44,82
"DUBLIN CITY","19907I","GAELSCOIL MOLOGA","BOTHAR CHLAREVILLE","BAILE ATHA CLIATH 6W",14923888,109,110,219
"DUBLIN CITY","19913D","ST JOSEPHS NS","MACROOM ROAD","BONNYBROOK",18475616,164,193,357
"DUBLIN CITY","19919P","ST DAVIDS N S","KILMORE ROAD","ARTANE",18487979,0,378,378
"DUBLIN CITY","19920A","ST JOHN OF GOD N S","KILMORE ROAD","ARTANE",18477193,219,0,219
"DUBLIN CITY","19924I","HAROLDS CROSS N S","HAROLDS CROSS","DUBLIN 6W",14922321,83,127,210
"DUBLIN CITY","19926M","GAELSCOIL CHOLAISTE MHUIRE","4 CEARNOG PHARNELL","B.A.C. 1",18729131,80,94,174
"DUBLIN CITY","19928Q","RANELAGH MULTI DENOM NS","RANELAGH ROAD","DUBLIN 6",14961722,113,127,240
"DUBLIN CITY","19929S","ST BRIGIDS SENIOR GIRLS","FINGLAS WEST","DUBLIN 11",18342416,175,11,186
"DUBLIN CITY","19933J","SCOIL TREASA NAOFA","PETRIE ROAD","DONORE AVENUE",14541899,65,62,127
"DUBLIN CITY","19935N","SCOIL EOIN","GREENDALE ROAD","DUBLIN 5",18323281,109,142,251
"DUBLIN CITY","19946S","RUTLAND STREET N S","LOWER RUTLAND STREET","DUBLIN 1",18747331,53,60,113
"DUBLIN CITY","19954R","NORTH BAY EDUCATE TOGETHER NS","GREENDALE AVENUE","KILBARRACK",18325536,128,93,221
"DUBLIN CITY","19981U","ST MARYS N S","WINDSOR AVE","FAIRVIEW",18377551,184,52,236
"DUBLIN CITY","20005V","SCOIL PLAS MHUIRE","ST MARYS PLACE","DORSET STREET",18300841,0,102,102
"DUBLIN CITY","20012S","GRIFFITH BARRACKS MULTI D SCHOOL","THE OLD GUARDHOUSE","GRIFFITH COLLEGE",14547278,109,137,246
"DUBLIN CITY","20014W","ST AGNES N S","ARMAGH ROAD","CRUMLIN",4555127,216,66,282
"DUBLIN CITY","20015B","GAELSCOIL BHAILE MUNNA","187 BOTHAR CHOULTRAI","BAILE MUNNA",18622275,90,93,183
"DUBLIN CITY","20029M","ST BRIGIDS INFANT N S","WELLMOUNT AVENUE","FINGLAS WEST",18348770,111,87,198
"DUBLIN CITY","20035H","ST GABRIELS N S","COWPER STREET","DUBLIN 7",18384853,90,107,197
"DUBLIN CITY","20047O","GAELSCOIL BHARRA","NAOMH FIONNBARRA C.L.G.","ASCAL AN FHASAIGH",18684827,101,109,210
"DUBLIN CITY","20048Q","GAELSCOIL LIOS NA NOG","Prefabs","Scoil Mhucrois",,113,99,212
"DUBLIN CITY","20052H","GAELSCOIL CHOLMCILLE","Lána na Cúlóige","Baile Átha Cliath 17",,112,101,213
"DUBLIN CITY","20059V","MOTHER OF DIVINE GRACE","HOLY FAITH NS","FERNDALE AVE",18344000,213,191,404
"DUBLIN CITY","20064O","OUR LADY OF CONSOLATION NS","COLLINS AVE EAST","DONNYCARNEY",18310721,133,92,225
"DUBLIN CITY","20091R","ST PETERS NS","PHIBSBORO","DUBLIN 7",18680501,187,201,388
"DUBLIN CITY","20092T","ST ULTANS NS","CHERRY ORCHARD","DUBLIN 10",16434600,95,119,214
"DUBLIN CITY","20103V","JOHN SCOTTUS NS","NORTHUMBERLAND ROAD","DUBLIN 4",16609309,127,135,262
"DUBLIN CITY","20104A","ST AUDOENS NS","COOK STREET","DUBLIN 8",16779856,71,85,156
"DUBLIN CITY","20131D","EDUCATE TOGETHER NS","Fitzwilliam Place North","Grangegorman Lower",18943111,124,123,247
"DUBLIN CITY","20139T","INCHICORE NS","SARSFIELD ROAD","INCHICORE",14536505,100,124,224
"DUBLIN CITY","20152L","NORTH DUBLIN MUSLIM NS PROJECT","C/O ST JOSEPHS SCHOOL FOR THE DEAF","NAVAN ROAD",18689587,92,61,153
"DUBLIN CITY","20168D","GLASNEVIN EDUCATE TOGETHER NS","CHURCH AVENUE","GLASNEVIN",18844563,101,126,227
"DUBLIN CITY","20220C","GAELSCOIL UI EARCAIN","Bothar Glas an Ein","Fionnghlas",18643544,62,49,111
"DUBLIN CITY","20228S","ST LAURENCE O TOOLES GIRLS SCHOOL","49 SEVILLE PLACE","NORTH WALL",18366494,102,0,102
"DUBLIN CITY","20281W","St Benedicts and St Marys National ","Grange Park","Raheny",,96,111,207
"DUBLIN CITY","20338C","Holy Child National School","Larkhill Road","Whitehall",,267,70,337
"DUN LAOGHAIRE/RATHDOWN","02872U","St. Mary's National School","Lamb's Cross","Sandyford",12954173,79,80,159
"DUN LAOGHAIRE/RATHDOWN","05600C","CLOCHAR SAN DOMINIC","DUNLAOGHAIRE","CO DUBLIN",12809011,91,89,180
"DUN LAOGHAIRE/RATHDOWN","06200O","BOOTERSTOWN BOYS","BOOTERSTOWN","BLACKROCK",12886830,0,195,195
"DUN LAOGHAIRE/RATHDOWN","10494K","ALL SAINTS N S","CARYSFORT AVE","BLACKROCK",12885355,25,25,50
"DUN LAOGHAIRE/RATHDOWN","11873A","RATHMICHAEL N S","RATHMICHAEL","SHANKILL",12824794,102,112,214
"DUN LAOGHAIRE/RATHDOWN","14586M","CARYSFORT NS","CONVENT ROAD","BLACKROCK",12885803,256,203,459
"DUN LAOGHAIRE/RATHDOWN","14647G","DALKEY N S (2)","DALKEY","CO DUBLIN",12803647,44,50,94
"DUN LAOGHAIRE/RATHDOWN","15132B","HAROLD BOYS N S","DALKEY","CO DUBLIN",12856193,0,90,90
"DUN LAOGHAIRE/RATHDOWN","15284B","TANEY N S","SYDENHAM VILLAS","DUNDRUM",12985015,207,239,446
"DUN LAOGHAIRE/RATHDOWN","16352U","ST BRIGIDS BOYS N S","FOXROCK","DUBLIN 18",12893199,0,470,470
"DUN LAOGHAIRE/RATHDOWN","16353W","ST BRIGIDS GIRLS N S","FOXROCK","DUBLIN 18",12847422,519,0,519
"DUN LAOGHAIRE/RATHDOWN","16629O","KILTERNAN CHURCH OF IRELAND NS","KILTERNAN","CO DUBLIN",12953235,87,105,192
"DUN LAOGHAIRE/RATHDOWN","16794G","ST BRIGIDS N S","MERVILLE  RD","STILLORGAN",12833095,44,46,90
"DUN LAOGHAIRE/RATHDOWN","16893I","S N NAOMH LORCAN","STILLORGAN","KILMACUD",12882486,0,432,432
"DUN LAOGHAIRE/RATHDOWN","17470I","ST RAPHAELAS N S","UPPER KILMACUD ROAD","STILLORGAN",12886878,300,2,302
"DUN LAOGHAIRE/RATHDOWN","17507F","S N PADRAIG NAOFA","GLEANN CUILLIN","CILLTIGHEARNAIN",12954255,77,73,150
"DUN LAOGHAIRE/RATHDOWN","17954H","SCOIL CAOIMHIN NAOFA","MOUNT MERRION","BLACKROCK",12887108,66,257,323
"DUN LAOGHAIRE/RATHDOWN","17970F","CL SCOIL M NA TROCAIRE","BAILE AN BHOTHAIR","CO BAILE ATHA CLIATH",12884223,203,0,203
"DUN LAOGHAIRE/RATHDOWN","17979A","S N CNOC AINBHIL","LR KILMACUD RD","STILLORGAN/BLACKROCK",12831148,418,0,418
"DUN LAOGHAIRE/RATHDOWN","18451J","SCOIL LORCAIN","CEARNOG EATON","BAILE NA MANACH",12808906,232,240,472
"DUN LAOGHAIRE/RATHDOWN","18647D","S N SAN TREASA","THE RISE","MT MERRION",12881505,210,234,444
"DUN LAOGHAIRE/RATHDOWN","18806U","KILTERNAN N S 1","KILTERNAN","CO DUBLIN",12955682,150,167,317
"DUN LAOGHAIRE/RATHDOWN","18886V","KILL O THE GRANGE N S","KILL O THE GRANGE","CO DUBLIN",12894578,107,108,215
"DUN LAOGHAIRE/RATHDOWN","19066L","LORETO NATIONAL SCHOOL","DALKEY","CO DUBLIN",12802128,259,66,325
"DUN LAOGHAIRE/RATHDOWN","19258U","SCOIL PADRAIG NAOFA B","Hollypark","Blackrock",12896042,0,560,560
"DUN LAOGHAIRE/RATHDOWN","19259W","ST PATRICKS GNS","FOXROCK AVE","FOXROCK",12893293,481,0,481
"DUN LAOGHAIRE/RATHDOWN","19314E","SCOIL NA MAIGHDINE MHUIRE BOY","BROADFORD RISE","BALINTEER",14946647,1,166,167
"DUN LAOGHAIRE/RATHDOWN","19319O","ST OLAFS N S","BALALLY DRIVE","DUNDRUM",12956513,204,211,415
"DUN LAOGHAIRE/RATHDOWN","19320W","OUR LADY OF GOOD COUNSEL BOYS N S","JOHNSTOWN","DUN LAOGHAIRE",12851449,0,424,424
"DUN LAOGHAIRE/RATHDOWN","19321B","OUR LADY GOOD COUNSEL GNS","JOHNSTOWN","DUN LAOGHAIRE",12853775,447,0,447
"DUN LAOGHAIRE/RATHDOWN","19335M","SCOIL NA AINGEAL","NEWTOWNPARK AVE","BLACKROCK",12833961,206,215,421
"DUN LAOGHAIRE/RATHDOWN","19374W","GARRAN MHUIRE","GOATSTOWN","DUBLIN 14",12988694,242,166,408
"DUN LAOGHAIRE/RATHDOWN","19396J","NA MAIGHDINE MUIRE GIRL","BALLINTEER","DUBLIN 16",14944052,199,0,199
"DUN LAOGHAIRE/RATHDOWN","19400U","SN GLEN NA GCAORACH","WYVERN","KILLINEY RD",12856011,127,118,245
"DUN LAOGHAIRE/RATHDOWN","19437U","SCOIL NAITHI","BAILE AN TSAOIR","DUM DROMA",12981931,113,123,236
"DUN LAOGHAIRE/RATHDOWN","19438W","SCOIL COLMCILLE SENIOR","WYATTVILLE","BALLYBRACK",12855527,59,118,177
"DUN LAOGHAIRE/RATHDOWN","19497P","SCOIL MHUIRE","SHANKILL","CO DUBLIN",12823507,140,160,300
"DUN LAOGHAIRE/RATHDOWN","19537B","ST ATTRACTAS JUNIOR N S","MEADOWBROOK","DUNDRUM",12984352,156,170,326
"DUN LAOGHAIRE/RATHDOWN","19612M","DALKEY SCHOOL PROJECT","GLENAGEARY LODGE","GLENAGEARY",12857199,99,129,228
"DUN LAOGHAIRE/RATHDOWN","19641T","ST COLMCILLE JUN NS","WYATTVILLE","BALLYBRACK",12848899,97,99,196
"DUN LAOGHAIRE/RATHDOWN","19716B","ST ATTRACTAS SENIOR N S","MEADOWBROOK","DUNDRUM",12951627,147,183,330
"DUN LAOGHAIRE/RATHDOWN","19723V","QUEEN OF ANGELS PRIMARY SCHOOL","WEDGEWOOD","DUNDRUM",12955483,154,140,294
"DUN LAOGHAIRE/RATHDOWN","19840C","HOLY FAMILY SCHOOL","DUNEDIN PARK","MONKSTOWN",12809242,56,45,101
"DUN LAOGHAIRE/RATHDOWN","19888H","ST ANNES MXD N S","STONEBRIDGE ROAD","SHANKILL",12825565,228,243,471
"DUN LAOGHAIRE/RATHDOWN","19901T","BOOTERSTOWN N S","CROSS AVE","BLACKROCK",12885514,48,40,88
"DUN LAOGHAIRE/RATHDOWN","19904C","HOLY CROSS N S","UPPER KILMACUD ROAD","DUNDRUM",12985493,78,110,188
"DUN LAOGHAIRE/RATHDOWN","19922E","OUR LADYS N S","ST COLUMBANUS ROAD","MILLTOWN",12981989,40,45,85
"DUN LAOGHAIRE/RATHDOWN","19938T","ST JOSEPHS","TIVOLI ROAD","DUN LAOGHAIRE",12803504,49,75,124
"DUN LAOGHAIRE/RATHDOWN","19939V","SCOIL NAISIUNTA AN DEA AOIRE","WHITEHALL ROAD","CHURCHTOWN",12989475,56,114,170
"DUN LAOGHAIRE/RATHDOWN","19945Q","RATHFARNHAM EDUCATE TOGETHER","LORETO AVENUE","RATHFARNHAM",14938677,104,116,220
"DUN LAOGHAIRE/RATHDOWN","19949B","ISLAMIC NATIONAL SCHOOL","19 ROEBUCK ROAD","CLONSKEAGH",12961340,132,143,275
"DUN LAOGHAIRE/RATHDOWN","19960M","ST JOHNS N S","BALLYBRACK","CO DUBLIN",12855525,58,79,137
"DUN LAOGHAIRE/RATHDOWN","19979K","ST KEVINS N S","SALLYNOGGIN","CO DUBLIN",12854309,60,57,117
"DUN LAOGHAIRE/RATHDOWN","20020R","GAELSCOIL THAOBH NA COILLE","Beallairmín","An Chéim",12950000,127,137,264
"DUN LAOGHAIRE/RATHDOWN","20056P","GAELSCOIL PHADRAIG","ASCAILL SHILEANN","BAILE BREAC",12827345,70,69,139
"DUN LAOGHAIRE/RATHDOWN","20060G","MONKSTOWN EDUCATE TOGETHER NS","Kill Avenue","Dun Laoghaire",12303696,134,140,274
"DUN LAOGHAIRE/RATHDOWN","20141G","THE HAROLD SCHOOL","EDEN ROAD","GLASTHULE",12805708,264,283,547
"DUN LAOGHAIRE/RATHDOWN","20190T","HOLY TRINITY NATIONAL SCHOOL","Glencairn","Leopardstown",12956317,73,83,156
"DUN LAOGHAIRE/RATHDOWN","20218P","ARCHBISHOP MCQUAID NATIONAL SCHOOL","LOUGHLINSTOWN","DUN LAOGHAIRE",12821220,65,58,123
"Fingal","00697S","ST BRIGIDS MXD N S","CASTLEKNOCK","DUBLIN 15",18214040,377,447,824
"Fingal","01170G","S N NA H-AILLE","THE NAUL","CO DUBLIN",18413821,40,61,101
"Fingal","09492W","BALSCADDEN N S","BALSCADDEN","RING COMMONS",18412579,98,133,231
"Fingal","09642P","BURROWS N S","SUTTON","DUBLIN 13",18325784,105,107,212
"Fingal","10296G","SCOIL NAOMH MEARNOG","STRAND ROAD","PORTMARNOCK",18462060,143,166,309
"Fingal","11583O","ST ANDREWS N S","MALAHIDE","CO DUBLIN",18450185,102,121,223
"Fingal","12358M","SWORDS BOROUGH N S","SWORDS BOROUGH N S","SWORDS",18407036,44,66,110
"Fingal","14180H","HOLMPATRICK N S","HOLMPATRICK","SKERRIES",18491409,46,50,96
"Fingal","15315J","ST GEORGES N S","ST GEORGES N S","The Naul Road",18410107,154,133,287
"Fingal","15569R","SCOIL MOIBHI","MILVERTON","SKERRIES",18492467,47,47,94
"Fingal","15650A","CORDUFF N S","LUSK","CO DUBLIN",18438274,55,55,110
"Fingal","16267G","ST PATRICKS BOYS NATIONAL SCHOOL","PORTRANE ROAD","DONABATE",18436168,0,362,362
"Fingal","16332O","ST PATRICKS SNR MIXED","SKERRIES","CO DUBLIN",18490945,158,198,356
"Fingal","16333Q","ST PATRICKS JNR MIXED","SKERRIES","CO DUBLIN",18490836,165,157,322
"Fingal","16675V","MULHUDDART NS","MULHUDDART  VILLAGE","DUBLIN 15",18210623,131,112,243
"Fingal","16844S","SCOIL N. BREANDAN","LOUGHSHINNY","SKERRIES",18490394,109,107,216
"Fingal","16970A","ST MOLAGA SENIOR NS","BREMORE","BALBRIGGAN",18413133,239,209,448
"Fingal","16972E","S N PEADAR AGUS POL N","BALBRIGGAN","CO DUBLIN",18412670,225,247,472
"Fingal","17263D","S N MUIRE AN SEAN BAILE","SEAN BHAILE","CO DUBLIN",18433420,23,31,54
"Fingal","17284L","BALDOYLE B N S","SCOIL NAISIUNTA BAILE DUILL","BR CLOCHAISE",18322938,0,222,222
"Fingal","17472M","BAILE FALBACH","LUSK","CO DUBLIN",18438372,38,48,86
"Fingal","17559B","S N MHUIRE","GARRISTOWN","CO DUBLIN",18354505,71,96,167
"Fingal","17569E","BLESSED OLIVER N S","BAILE AN RIDIRE","BAILE BRIGIN",18411494,190,159,349
"Fingal","17595F","CILL COSCAIN","THE WARD","CO DUBLIN",18351508,36,47,83
"Fingal","17785K","SAN NIOCLAS MYRA","KINSEALY","DUBLIN 17",18464033,59,83,142
"Fingal","17820J","BRIGHDE NAOFA","BAILE ROTHLUIS","KILSALLAGHAN",18404130,113,155,268
"Fingal","17914S","ST OLIVER PLUNKETT","ST OLIVER PLUNKETT NS","GROVE ROAD",18452052,473,439,912
"Fingal","17928G","SN N SAILBHEASTAR NFA","MALAHIDE","CO DUBLIN",18450061,160,228,388
"Fingal","17961E","S N LUSCA","LUSK","CO DUBLIN",18437738,321,326,647
"Fingal","18038B","ST MARGARETS N S","ST MARGARETS","CO.DUBLIN.",18361669,33,51,84
"Fingal","18046A","SCOIL BRIDE B","BLANCHARDSTOWN","DUBLIN 15",18201299,0,296,296
"Fingal","18047C","SCOIL BRIDE C","BLANCHARDSTOWN","DUBLIN 15",18201717,324,0,324
"Fingal","18080A","SCOIL MHUIRE MXD","TUCKETTS LANE","HOWTH",18323572,113,102,215
"Fingal","18412W","S N C NAOMH PADRAIG","DONABATE","CO DUBLIN",18436201,431,0,431
"Fingal","18623M","SCOIL NAISUNTA CHNUACHA","CASTLEKNOCK","DUBLIN 15",18202611,94,91,185
"Fingal","18778S","S N NAOMH MOCHTA","CLONSILLA","DUBLIN 15",18210499,375,408,783
"Fingal","18976W","S N CHOLMILLE B","SWORDS","CO DUBLIN",18405132,0,457,457
"Fingal","18977B","S N CHOLMCILLE C","SWORDS","CO DUBLIN",18404168,499,0,499
"Fingal","19001G","BALLYBOGHILL N S","BALLYBOGHILL","CO DUBLIN",18433469,88,83,171
"Fingal","19393D","MHUIRE IOSEF JUNIOR","VERBENA ESTATE","DUBLIN 13",18326524,210,214,424
"Fingal","19435Q","ST FRANCIS XAVIER J N S","ROSELAWN ROAD","CASTLEKNOCK",18210892,199,205,404
"Fingal","19456B","ST CRONAN","BRACKENSTOWN","SWORDS",18402194,290,321,611
"Fingal","19470S","ST FRANCIS XAVIER SENIOR N S","COOLMINE","CASTLEKNOCK",18211121,154,193,347
"Fingal","19505L","SN OILIBHEIR","BAILE AN BHLACAIGH","CLUAIN SAILEACH",18215277,123,141,264
"Fingal","19515O","SN NAOMH TREASA","BAILE BRIGIN","CO ATH CLIATH",18416270,235,245,480
"Fingal","19533Q","S N MUIRE AGUS IOSEF","BAYSIDE","SUTTON",18393682,219,228,447
"Fingal","19535U","BRACKENSTOWN SENIOR N S","BRACKENSTOWN","SWORDS",18403488,303,317,620
"Fingal","19545A","CORDUFF N S","CORDUFF","BLANCHARDSTOWN",18211546,147,176,323
"Fingal","19549I","ST FINTANS NS","ST FINTAN N S","CARRICKBRACK RD",18391067,228,196,424
"Fingal","19578P","ST HELENS JUNIOR N S","ST HELENS JUNIOR N S","MARTELLO",18461763,116,147,263
"Fingal","19601H","ST PHILIP THE APOSTLE JUNIOR N S","MOUNTVIEW","BLANCHARDSTOWN",18212992,130,168,298
"Fingal","19605P","SCOIL NAIS MHUIRE SOIS","BLAKESTOWN","MULHUDDART",18216916,122,152,274
"Fingal","19624T","SCOIL NAIS CAITRIONA","KENURE","RUSH",18438266,162,164,326
"Fingal","19625V","S N REALT NA MARA","THOMAS HAND ST","SKERRIES",18490049,248,202,450
"Fingal","19627C","JOHN PAUL II N S","SONESTA","MALAHIDE",18450736,264,289,553
"Fingal","19636D","ST PATRICKS SENIOR SCHOOL","CORDUFF","BLANCHARDSTOWN",18216563,155,162,317
"Fingal","19643A","ST PHILIPS  SENIOR N S","MOUNTVIEW","CLONSILLA",18216101,155,155,310
"Fingal","19644C","ST CIARANS N S","HARTSTOWN","DUBLIN 15",18212233,366,385,751
"Fingal","19660A","RUSH NS","RUSH","CO DUBLIN",18437095,385,336,721
"Fingal","19693P","MARY QUEEN OF IRELAND N S","TOBERBURR","CO DUBLIN",18404629,34,30,64
"Fingal","19694R","SCOIL MHUIRE SIN","BLAKESTOWN","MULHUDDART",18212288,139,136,275
"Fingal","19721R","HOLY FAMILY JUNIOR N S","FOREST FIELDS","SWORDS",18404394,263,298,561
"Fingal","19755L","SACRED HEART N S","HUNTSTOWN","MULHUDDART",18216400,432,465,897
"Fingal","19762I","ST HELENS SENIOR N S","MARTELLO","PORTMARNOCK",18461808,106,118,224
"Fingal","19769W","SCOIL THOMAIS","LAUREL LODGE","CASTLEKNOCK",18201022,325,341,666
"Fingal","19850F","LADYSWELL N S","LADYSWELL","MULHUDDART",18204255,305,322,627
"Fingal","19877C","HOLY FAMILY SENIOR N S","FOREST FIELDS","RIVER VALLEY",18406334,258,240,498
"Fingal","19898K","GAELSCOIL AN DUINNINIGH","DRAIGHNEAN","FELTRIM SORD",18409640,137,111,248
"Fingal","19988L","ST MARYS NATIONAL SCHOOL","GRANGE ROAD","BALDOYLE",18326782,250,0,250
"Fingal","20095C","GAELSCOIL BRIAN BOROIMHE","Coill na nÚll","Sord",18902799,161,138,299
"Fingal","20098I","CASTLEKNOCK EDUCATE TOGETHER NS","BEECHPARK AVENUE","CASTLEKNOCK",18219331,216,245,461
"Fingal","20130B","ST PATRICKS NS","St. Patrick's National School","Diswellstown Road",18249930,338,402,740
"Fingal","20137P","MARY  MOTHER OF HOPE SENIOR NS","LITTLEPACE","CASTAHEANY",18128693,189,175,364
"Fingal","20145O","SWORDS EDUCATE TOGETHER NS","APPLEWOOD","SWORDS",18903899,175,213,388
"Fingal","20161M","DONABATE/PORTRANE EDUCATE TOGETHER","BALLISK COMMON","OFF PORTRANE ROAD",18434573,170,246,416
"Fingal","20176C","RUSH AND LUSK EDUCATE TOGETHER NS","Raheny Lane","Rathmore Road",18430525,86,100,186
"Fingal","20186F","CASTAHEANY EDUCATE TOGETHER NS","Castaheany Educate Together NS","Ongar Village",16467484,176,209,385
"Fingal","20201V","TYRRELSTOWN EDUCATE TOGETHER","POWERSTOWN ROAD","TYRRELSTOWN",18273140,183,230,413
"Fingal","20202A","BALBRIGGAN EDUCATE TOGETHER NS","HAMLET LANE","MOYLARAGH",16904635,131,167,298
"Fingal","20231H","ST BENEDICTS NATIONAL SCHOOL","C/O MARY MOTHER OF HOPE NS","LITTLEPACE",18026579,143,141,284
"Fingal","20241K","Scoil Choilm Community National School","Porterstown Rd","Porterstown",18213352,95,119,214
"Fingal","20247W","Scoil Ghrainne Community National S","Phibblestown","Dublin 15",16402418,84,73,157
"Fingal","20252P","GAELSCOIL BHAILE BRIGIN","Castlelands","BHAILE BRIGIN",18416036,81,90,171
"Fingal","20282B","Bracken Educate Together N.S.","Castlelands","Balbriggan",16911476,130,139,269
"Fingal","20302E","Thornleigh Educate Together Nationa","Thornleigh Green","Applewood Village",,47,44,91
"Fingal","20304I","St. Francis of Assisi National Scho","Belmayne","Dublin 13",,31,39,70
"Fingal","20307O","Skerries Educate Together National ","Barnageeragh Cove","Kellys Bay",18494050,35,40,75
"Fingal","20308Q","Belmayne Educate Together National ","Balgriffin Park","Belmayne",18296980,26,36,62
"Fingal","20309S","Mary Mother of Hope Junior National","Littlepace","Castaheany",16405655,236,225,461
"Fingal","20334R","Gaelscoil Ros Eo","Gaelscoil Ros Eo","St Maurs GAA",,19,22,41
"GALWAY CITY","01013N","SCOIL CROI IOSA","PRESENTATION ROAD","GALWAY",91525904,87,42,129
"GALWAY CITY","04515G","SCOIL AN LINBH IOSA","ST FRANCIS ST","GALWAY",91566452,112,51,163
"GALWAY CITY","13856K","BUSHY PARK N S","BUSHY PARK","GALWAY",91524625,172,252,424
"GALWAY CITY","13914V","SCOIL NAOMH IOSEF","RATHUN","BEARNA",91520933,56,65,121
"GALWAY CITY","16750J","PAROCHIAL N S","CEARNOG TI NA CUAIRTE","GAILLIMH",91569233,47,53,100
"GALWAY CITY","16937C","S N FHURSA","NILE LODGE","GAILLIMHE",91521840,134,125,259
