Campus,Researcher Name,School,Department,Fund,Year Received,Date Received,Title,Total Award,Detailed Sponsor Name,Agency,Category
UCI,"Markopoulou, Athina",Engineering ,EECS,21587,,40452,"CDI Type II: Topology and Function in Computer, Social, and Biological Networks",1999503,,NSF,Space
UCSD,"Smarr, Larry L ",Engnrng    ,Calit2,32278A ,2002,37271,NSF ANIR Workshop on Experimental Infostructure Network ,7000,Computer & Network Systems,NSF,Admin
UCSD,"Smarr, Larry L",Engnrng    ,Calit2,"26415A,26415B",2002,37278,ITR:  The OptIPuter,13500000,Shared Cyberinfrastructure,NSF,Admin
UCSD,"Trivedi, Mohan M",Engnrng    ,ECE          ,"28018A,28018B",2003,37626,Multi-Modal Distributed Video Arrays for Enhanced Situa,1030424,DN/Navy Misc. Bases and Agencies,DOD,Admin
UCSD,"Fainman, Yeshaiahu",Engnrng    ,ECE          ,28024C,2003,37627,Ultra-Short Pulse Laser Facility for Optical Remote Sen,24000,DN/SPAWAR,DOD,Admin
UCSD,"Hollan, James D",Social Sciences,Cog Sci,28024P,2003,37628,Video-Based Reflective Learning Tools for Developing Ex,45789,DN/SPAWAR,DOD,Admin
UCSD,"Papen, George C",Engnrng    ,ECE          ,28024F,2003,37629,Coherent RF Photonic Detection Utilizing Free-Running L,19200,DN/SPAWAR,DOD,Admin
UCSD,"Ramesh Rao/Ten Eyck, Lynn Forest",Physical Sciences,Chemistry                     ,"99999,28030A",2003,37630,"Theoretical Analyis, Exploratory Studies And Technical",1166220,DN/SPAWAR,DOD,Admin
UCSD,"Savage, Stefan Roberts",Engnrng    ,CSE           ,28024D,2003,37631,Security Wireless MAC Protocols,43536,DN/SPAWAR,DOD,Admin
UCSD,"Zeidler, James R",Engnrng    ,ECE          ,28024A,2003,37632,Adaptive Spatial Temporal Processing for Secure High-Ca,9500,DN/SPAWAR,DOD,Admin
UCSD,"Zeidler, James R",Engnrng    ,ECE          ,28024B,2003,37633,Increased Transmission Capacity for Tactical Data Netwo,24000,DN/SPAWAR,DOD,Admin
UCSD,"Zeidler, James R",Engnrng    ,ECE          ,28024E,2003,37634,Peak to Average Power Ratio Improvements for OFDM Signa,100800,DN/SPAWAR,DOD,Admin
UCSD,"Rao, Ramesh R",Engnrng    ,Calit2,32294A,2003,37663,Networking Research Testbeds (NRT) Program,390000,Computer & Network Systems,NSF,Admin
UCSD,"Rao, Ramesh R ",Engnrng    ,Calit2,"26439A, 26439B ",2003,37667,DG: The New Role of Science and Engineering in Risk Red ,200000,Experimental & Integrated Activities,NSF,Admin
UCSD,"Rao, Ramesh R",Engnrng    ,Calit2,"22055A,22055B",2003,37669,ITR: Collaborative Research: Responding to the Unexpect,3547999,Information & Intelligent Systems,NSF,Admin
UCSD,"Proakis, John George",Engnrng    ,ECE          ,28024H,2004,38003,Increased Transmission Capacity for Underwater Channels,10000,DN/SPAWAR,DOD,Admin
UCSD,"Proakis, John George",Engnrng    ,ECE          ,28024J,2004,38004,UHF SATCOM Analysis for Adaptive Equalizer,17596,DN/SPAWAR,DOD,Admin
UCSD,"Rao, Ramesh R",Engnrng    ,Calit2,28024M,2004,38005,Network Centric Operations,40000,DN/SPAWAR,DOD,Admin
UCSD,"Yu, Paul K L",Engnrng    ,ECE          ,28024L,2004,38006,Segmented Traveling-Wave Electroabsorption Modulator: A,150000,DN/SPAWAR,DOD,Admin
UCSD,"Zeidler, James R",Engnrng    ,ECE          ,28024G,2004,38007,Increased Transmission for Underwater Channels,20000,DN/SPAWAR,DOD,Admin
UCSD,"Zeidler, James R",Engnrng    ,ECE          ,28024K,2004,38008,Adaptive Spatial-Temporal Processing for Secure High-Ca,58000,DN/SPAWAR,DOD,Admin
UCSD,"Zeidler, James R",Engnrng    ,ECE          ,28024Q,2004,38009,Composable Antenna System Signal Processing for GPS,30000,DN/SPAWAR,DOD,Admin
UCSD,"Papadopoulos, Philip M",Engnrng    ,SDSC,28864A,2004,38024,"Development of Quartzite, a Campus-wide, Terabit-Class,",1154436,Computer & Network Systems,NSF,Admin
UCSD,"Rao, Ramesh R",Engnrng    ,Calit2,31304A,2004,38025,An IT Infrastructure for Responding to the Unexpected,516634,Computer & Network Systems,NSF,Admin
UCSD,"Papadopoulos, Philip M",Engnrng    ,SDSC,32299A,2004,38035,SEI(GEO):Scientific Data Operators Optimized for Effici,12888,Information & Intelligent Systems,NSF,Admin
UCSD,"Yu, Paul K L",Engnrng    ,ECE          ,27529A,2005,38355,Fiscal Year 2005 DURIP: A Proposal for the Purchase of,250000,"ARO, Durham, NC",DOD,Admin
UCSD,"Fainman, Yeshaiahu",Engnrng    ,ECE          ,28024N,2005,38364,Time-Domain Optical Waveform Processing for Electronic,75000,DN/SPAWAR,DOD,Admin
UCSD,"Hodgkiss, William S",SIO,MPL                           ,28024Z,2005,38365,"Buoy Design: Past, Present and Future",10252,DN/SPAWAR,DOD,Admin
UCSD,"Hollan, James D",Social Sciences,Cog Sci,28024Y,2005,38366,Video-Based Reflective Learning Tools for Developing Ex,20000,DN/SPAWAR,DOD,Admin
UCSD,"Papen, George C",Engnrng    ,ECE          ,28024T,2005,38367,Optimal Filtering for Coherent Optical Communication Re,50000,DN/SPAWAR,DOD,Admin
UCSD,"Papen, George C",Engnrng    ,ECE          ,28024U,2005,38368,Detection Statistics for Coherent Optical Phase-Modulat,20000,DN/SPAWAR,DOD,Admin
UCSD,"Proakis, John George",Engnrng    ,ECE          ,28024R,2005,38369,UHF SATCOM Adaptive Filtering,40000,DN/SPAWAR,DOD,Admin
UCSD,"Proakis, John George",Engnrng    ,ECE          ,28024W,2005,38370,Enhanced Underwater Communications Using MIMO Systems,15000,DN/SPAWAR,DOD,Admin
UCSD,"Radic, Stojan",Engnrng    ,ECE          ,28024V,2005,38371,Coherent Banded Processing in Parametic Architecture,206166,DN/SPAWAR,DOD,Admin
UCSD,"Rao, Ramesh R",Engnrng    ,Calit2,28024X,2005,38372,RF MEMS Switches for Highly Integrated Transcelvers,35000,DN/SPAWAR,DOD,Admin
UCSD,"Rebeiz, Gabriel M",Engnrng    ,ECE          ,27134A,2005,38373,High-Reliability Packaged Nano-MEMS Nano-Second RF MEMS,246166,DN/SPAWAR,DOD,Admin
UCSD,"Zeidler, James R",Engnrng    ,ECE          ,28024S,2005,38374,Peak to Average Power Ratio Improvements for OFDM Signa,115000,DN/SPAWAR,DOD,Admin
UCSD,"Defanti, Thomas A",Engnrng    ,Calit2,82798A,2005,38375,High-Speed Distributed Cluster Protocols,435646,Natl Reconnaissance Office,DOD,Admin
UCSD,"Hecht-Nielsen, Robert",Engnrng    ,ECE          ,27136A,2005,38377,Models of Corticothalamic Neuronal Implementation of Co,165829,ONR,DOD,Admin
UCSD,"RAO, RAMESH R",ORGANIZED RESEARCH UNIT,CALIT2,31304A,2005,38421,An IT Infrastructure for Responding to the Unexpected                                                                                                 ,900795,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"RAO, RAMESH R",ORGANIZED RESEARCH UNIT,CALIT2,22055A,2005,38631,ITR: Collaborative Research: Responding to the Unexpected                                                                                             ,3547999,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"Cruz, Rene L",Engnrng    ,ECE          ,27545A,2006,38718,Protocols for Ad-Hoc Wireless Networks,234750,"ARO, Durham, NC",DOD,Admin
UCSD,"Hollan, James D",Engnrng    ,ECE          ,28024I,2006,38720,Video-Based Reflective Learning Tools for Developing Ex,30500,DN/SPAWAR,DOD,Admin
UCSD,"Radic, Stojan",Engnrng    ,ECE          ,16019B,2006,38721,Spectrally Agile Coherent Sources for Phase-Sensitive S,389640,DN/SPAWAR,DOD,Admin
UCSD,"Zeidler, James R",Engnrng    ,ECE          ,16019A,2006,38722,Composable Antenna System Signal Processing for GPS,30000,DN/SPAWAR,DOD,Admin
UCSD,"DEFANTI, THOMAS A             ",ORGANIZED RESEARCH UNIT,CALIT2,82814A,2006,38908,High-Speed Distributed Cluster Protocols                                                                                                              ,297402,DOD ADVANCED RESEARCH PROJECTS AGENCY (DARPA),DOD,Admin
UCSD,"TRIVEDI, MOHAN M.             ",ORGANIZED RESEARCH UNIT,CALIT2,28018B,2006,38932,"Multi-Modal Distributed Video Arrays for Enhanced Situational Awareness of Activities in Remote, Out-Door Spaces                                      ",1075687,DN/NAVY MISC BASES & AGENCIES,DOD,Admin
UCSD,"RAO, RAMESH R                 ",ORGANIZED RESEARCH UNIT,CALIT2,33018A,2006,38978,SGER: The CogNet (Cognitive Complete Knowledge Network) System                                                                                        ,100000,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"KARIN, SIDNEY                 ",ORGANIZED RESEARCH UNIT,CALIT2,82619A,2006,39022,Adaptive Dymamic Information Sharing                                                                                                                  ,99000,DAF AIR FORCE RESEARCH LABORATORY,DOD,Admin
UCSD,"HECHT-NIELSEN, ROBERT         ",ORGANIZED RESEARCH UNIT,CALIT2,27136A,2006,39027,Models of Corticothalamic Neuronal Implementation of Confabulation and Cognitive Knowledge Links                                                      ,504349,(ONR) OFFICE OF NAVAL RESEARCH,DOD,Admin
UCSD,"ASBECK, PETER MICHAEL         ",ORGANIZED RESEARCH UNIT,CALIT2,82853A,2007,39086,Topic N06-T009  Title High Linearity-High Efficiency Power Amplifiers Based on Digital Signal Processing Techniques and Wide Bandgap Devices          ,30000,(ONR) OFFICE OF NAVAL RESEARCH,DOD,Admin
UCSD,"REBEIZ, GABRIEL M             ",ORGANIZED RESEARCH UNIT,CALIT2,16019E,2007,39093,Investigation of Gamma-Ray Detection Using Microwave Cavities                                                                                         ,100000,DN (SPAWAR) SPACE & NAVAL WARFARE S,SPAWAR,Admin
UCSD,"ARZBERGER, PETER W.",ORGANIZED RESEARCH UNIT,CALIT2,27549A,2007,39107,Distributed Bioinformatics Analysis of Avian (Bird) Flu Using Global Computational Data Grid (Log No. 06292002)                                       ,351633,DA ARMY MEDICAL RESEARCH ACQUISITIO,DOD,Admin
UCSD,"ARZBERGER, PETER W.           ",ORGANIZED RESEARCH UNIT,CALIT2,82941A,2007,39122,CI-TEAM Implementation Project: Global Cyberbridges (GCB); A Model Global Collaboration Infrastructure for e-Science Between US and International Part,54709,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"KRUEGER, INGOLF HEIKO         ",ORGANIZED RESEARCH UNIT,CALIT2,16019H,2007,39189,Exploring Service Oriented Architectures for Enterprise Chat / TDL # 0037                                                                             ,25000,DN (SPAWAR) SPACE & NAVAL WARFARE S,SPAWAR,Admin
UCSD,"ORCUTT, JOHN A. ",ORGANIZED RESEARCH UNIT,CALIT2,82948A,2007,39218,Implementing Organization for the Ocean Observatories I ,2649485,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"ZEIDLER, JAMES R              ",ORGANIZED RESEARCH UNIT,CALIT2,16019J,2007,39234,Optimum Coding and Equalization Techniques for Constant Envelope Orthogonal Frequency Division Multiplexing (CE-OFDM)                                 ,25000,DN (SPAWAR) SPACE & NAVAL WARFARE S,SPAWAR,Admin
UCSD,"REBEIZ, GABRIEL M             ",ORGANIZED RESEARCH UNIT,CALIT2,28030G,2007,39255,VHF Cochlea-Inspired RF Channelizing Filter                                                                                                           ,100000,DN (SPAWAR) SPACE & NAVAL WARFARE S,SPAWAR,Admin
UCSD,"FAINMAN, YESHAIAHU",ORGANIZED RESEARCH UNIT,CALIT2,27557A,2007,39260,Miniaturization and Optimization of Nanoscale Resonant Osciliators (MONRO)                                                                            ,1600000,DA ARMY MEDICAL RESEARCH ACQUISITIO,DOD,Admin
UCSD,"WIENHAUSEN, GABRIELE KATHA    ",ORGANIZED RESEARCH UNIT,CALIT2,28142A,2007,39315,Pacific Rim Experiences for Undergraduates: Creating a Persistent Model for International Undergraduate Research                                      ,308246,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"KUESTER, FALKO                ",ORGANIZED RESEARCH UNIT,CALIT2,82865A,2007,39323,Portable Interactive 3D Virtual Reality Training System                                                                                               ,40000,DN/NAVY MISC BASES & AGENCIES,DOD,Admin
UCSD,"COTTRELL, GARRISON W          ",ORGANIZED RESEARCH UNIT,CALIT2,33017A,2007,39331,The Temporal Dynamics of Learning                                                                                                                     ,11938236,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"ORLITSKY, ALON                ",ORGANIZED RESEARCH UNIT,CALIT2,28182A,2007,39356,Collaborative Research: Design and Analysis of Compressed Sensing DNA Microarrays                                                                     ,592990,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"FAINMAN, YESHAIAHU            ",ORGANIZED RESEARCH UNIT,CALIT2,82834A,2007,39358,Automated Microfluidic Flow Cytometry and Cell Sorting                                                                                                ,16365,DOD ADVANCED RESEARCH PROJECTS AGENCY (DARPA),DOD,Admin
UCSD,"FAINMAN, YESHAIAHU            ",ORGANIZED RESEARCH UNIT,CALIT2,82835A,2007,39358,Optofluidics for Single Molecule DNA Sequencing and High Throughput Label-less Protein Detection with Plasmonics in Nanohole Arrays                   ,50000,DOD ADVANCED RESEARCH PROJECTS AGENCY (DARPA),DOD,Admin
UCSD,"ASBECK, PETER MICHAEL         ",ORGANIZED RESEARCH UNIT,CALIT2,82869A,2007,39436,Topic NO6-T009 Title High Linearity-High Efficiency Power Amplifiers Based on Digital Signal Processing Techniques and Wide Bandgap Devices - Phase II,422000,(ONR) OFFICE OF NAVAL RESEARCH,DOD,Admin
UCSD,"ZEIDLER, JAMES R              ",ORGANIZED RESEARCH UNIT,CALIT2,78649A,2008,39478,Constant Envelope Orthogonal Frequency Division Modulation (CE-OFDM) Waveform Design                                                                  ,299410,(ONR) OFFICE OF NAVAL RESEARCH,DOD,Admin
UCSD,"HODGKISS, WILLIAM S.          ",ORGANIZED RESEARCH UNIT,CALIT2,28030H,2008,39510,V Joint Tactical Radio System (JTRS) Software Defined Radio (SDR) and Wireless Networking Technology Development and Testing                          ,917921,Department of Defense (DOD) (FD),SPAWAR,Admin
UCSD,"RIOS, PHILLIP A ",ORGANIZED RESEARCH UNIT,CALIT2,83498A,2008,39561,Enabling Sleep Apnea Patient-Centered Care Via an Internet Intervention                                                                               ,173567.63,PHS (AHRQ) AGENCY FOR HEALTHCARE RESEARCH AND QUAL,NIH,Admin
UCSD,"WANG, DELI                    ",ORGANIZED RESEARCH UNIT,CALIT2,27239A,2008,39590,Acquisition of Atomic Layer Deposition to Enable Novel Nanoelectronics and Nano-optoelectronics                                                       ,258767,Department of Defense (DOD) (FD),DOD,Admin
UCSD,"DEFANTI, THOMAS A             ",ORGANIZED RESEARCH UNIT,CALIT2,27840A,2008,39638,MRI: Development of Instrumentation for Project GreenLight,2012500,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"MOVELLAN, JAVIER R.           ",ORGANIZED RESEARCH UNIT,CALIT2,27891A,2008,39686,INT2-Large: Collaborative Research: Developing Social Robots,2650000,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"REBEIZ, GABRIEL M             ",ORGANIZED RESEARCH UNIT,CALIT2,16019R,2008,39687,A Microwave-Based Gamma-Ray Spectrometer                                                                                                              ,120000,DN (SPAWAR) SPACE & NAVAL WARFARE S,SPAWAR,Admin
UCSD,"LI, WEIZHONG                  ",ORGANIZED RESEARCH UNIT,CALIT2,25281A,2008,39693,CD-HIT: A Fast Program to Cluster and Compare Large Sets of Biological Sequences                                                                      ,109012.9,Department of Health & Human Services (DHHS)(FH),NIH,Admin
UCSD,"SCHULZE, JURGEN PETER         ",ORGANIZED RESEARCH UNIT,CALIT2,28452A,2008,39702,Metadata-Driven Approach to Discovery-Oriented Exploration of Massive Data Sets                                                                       ,57566,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"HECHT-NIELSEN, ROBERT         ",ORGANIZED RESEARCH UNIT,CALIT2,27260A,2008,39784,Understanding Action Processes                                                                                                                        ,525000,Department of Defense (DOD) (FD),DOD,Admin
UCSD,"ORCUTT, JOHN A. ",ORGANIZED RESEARCH UNIT,CALIT2,82948B,2009,39814,Implementing Organization for the Ocean Observatories I ,4017501,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"REBEIZ, GABRIEL M             ",ORGANIZED RESEARCH UNIT,CALIT2,28058A,2009,39905,VHF Cochlea-Inspired RF Channelizing Filter                                                                                                           ,42913,Department of Defense (DOD) (FD),SPAWAR,Admin
UCSD,"HODGKISS, WILLIAM S.          ",ORGANIZED RESEARCH UNIT,CALIT2,28058B,2009,39912,Joint Tactical Radio System (JTRS) Software Defined Radio (SDR) and Wireless Networking Technology Development and Testing                            ,949395,Department of Defense (DOD) (FD),SPAWAR,Admin
UCSD,"KUESTER, FALKO                ",ORGANIZED RESEARCH UNIT,CALIT2,87107A,2009,40018,Multiuser Portable Virtual Reality Training Simulator for Submarines                                                                                  ,175772,DN NAVAL UNDERSEA WARFARE CENTER,DOD,Admin
UCSD,"PATRICK, KEVIN M              ",ORGANIZED RESEARCH UNIT,CALIT2,23451A,2009,40035,SMART: A Social and Mobile Weight Control Program for Young Adults                                                                                    ,5647555,Department of Health & Human Services (DHHS)(FH),NIH,Admin
UCSD,"RAO, RAMESH R                 ",ORGANIZED RESEARCH UNIT,CALIT2,87118A,2009,40038,"SBIR Phase I: 60 GHZ Wide Band, Local Radio (WBLR)                                                                                                    ",15000,DA ARMY ENGINEER RESEARCH AND DEVELOPMENT LABS.,DOD,Admin
UCSD,"PAPEN, GEORGE C.              ",ORGANIZED RESEARCH UNIT,CALIT2,25248A,2009,40058,MRI: Development of a Scalable Energy Efficient Datacenter (SEED)                                                                                     ,1399999,National Science Foundation (NSF)(FS),NSF,Admin
UCSD,"RAO, RAMESH R                 ",ORGANIZED RESEARCH UNIT,CALIT2,25253A,2009,40064,Cognitive Opportunistic Communications and Cognitive Cross-layer Protocol Stack Design                                                                ,156967,Department of Defense (DOD) (FD),DOD,Admin
UCSD,"GRISWOLD, WILLIAM G           ",ORGANIZED RESEARCH UNIT,CALIT2,25336A,2009,40078,WIISARD SAGE: Self-Scaling Systems for Mass Casualty Management                                                                                       ,3157848,Department of Health & Human Services (DHHS)(FH),NIH,Admin
UCSD,"ORCUTT, JOHN A. ",ORGANIZED RESEARCH UNIT,CALIT2,87125A,2009,40126,"Proposal for the ORION Cyberinfrastructure Implementation Organized by the Network for Ocean Research, Interaction and Application (NORIA) Consortium  ",9465141,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"PATRICK, KEVIN M              ",ORGANIZED RESEARCH UNIT,CALIT2,83309A,2010,40197,Information Technology for Comparative Effectiveness Research                                                                                         ,1248950,NIH (NCI) NATL CANCER INST,NIH,Admin
UCSD,"ORCUTT, JOHN A. ",ORGANIZED RESEARCH UNIT,CALIT2,87165A,2010,40226,"Proposal for the ORION Cyberinfrastructure Implementation Organized by the Network for Ocean Research, Interaction and Application (NORIA) Consortium  ",7250975,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"PATRICK, KEVIN M              ",ORGANIZED RESEARCH UNIT,CALIT2,26748A,2010,40297,m-DIET: A Text Message Intervention for Weight Loss                                                                                                   ,2319070,NIH (NCI) NATL CANCER INST,NIH,Admin
UCSD,"REBEIZ, GABRIEL M             ",ORGANIZED RESEARCH UNIT,CALIT2,28058D,2010,40304,Microwave-Based Gamma-Ray Spectrometer                                                                                                                ,43000,DN (SPAWAR) SPACE & NAVAL WARFARE S,SPAWAR,Admin
UCSD,"LEVY, THOMAS E                ",ORGANIZED RESEARCH UNIT,CALIT2,27297A,2010,40309,"Collaborative Research: Levantine geomagnetic field spike:  How high, how fast, how far?                                                              ",179657,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"ORCUTT, JOHN A. ",ORGANIZED RESEARCH UNIT,CALIT2,87183A,2010,40316,"Proposal for the ORION Cyberinfrastructure Implementation Organized by the Network for Ocean Research, Interaction and Application (NORIA) Consortium  ",1515169,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"DEFANTI, THOMAS A             ",ORGANIZED RESEARCH UNIT,CALIT2,27432A,2010,40330,Project Greenlight Workshop for MSI-CIEC: Greening and Growing Campus Cyberinfrastructure for Minority-Serving Institutions.                          ,49933,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"DEFANTI, THOMAS A             ",ORGANIZED RESEARCH UNIT,CALIT2,27432B,2010,40330,Project Greenlight Workshop for MSI-CIEC: Greening and Growing Campus Cyberinfrastructure for Minority-Serving Institutions.                          ,,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"DEFANTI, THOMAS A             ",ORGANIZED RESEARCH UNIT,CALIT2,27629A,2010,40346,IRNC: ProNet: TransLight                                                                                                                              ,1188000,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"DEFANTI, THOMAS A             ",ORGANIZED RESEARCH UNIT,CALIT2,27629B,2010,40346,IRNC: ProNet: TransLight                                                                                                                              ,,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"RAO, RAMESH R                 ",ORGANIZED RESEARCH UNIT,CALIT2,87230A,2010,40360,"SBIR Phase II: 60 GHZ Wide Band, Local Radio (WBLR)                                                                                                   ",120000,DA ARMY ENGINEER RESEARCH AND DEVELOPMENT LABS.,DOD,Admin
UCSD,"KUESTER, FALKO                ",ORGANIZED RESEARCH UNIT,CALIT2,27770A,2010,40366,"IGERT: Training, Research and Education in Engineering for Cultural Heritage Diagnostics                                                              ",3200000,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"FAINMAN, YESHAIAHU            ",ORGANIZED RESEARCH UNIT,CALIT2,27773A,2010,40393,MRI-R2: Acquisition of Electron Beam Writer for Southern California Recovery Investment in Nanotechnology (SCRIN)                                     ,1960000,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"HODGKISS, WILLIAM S.          ",ORGANIZED RESEARCH UNIT,CALIT2,28058E,2010,40423,Joint Tactical Radio System (JTRS) Software Defined Radio (SDR) and Wireless Networking Technology Development and Testing                            ,434104,DN (SPAWAR) SPACE & NAVAL WARFARE S,SPAWAR,Admin
UCSD,"SCHURGERS, CURT               ",ORGANIZED RESEARCH UNIT,CALIT2,28079A,2010,40430,CPS: Medium: Collaborative Research: Networked Sensor Swarm of Underwater Drifters                                                                    ,999986,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"GRISWOLD, WILLIAM G           ",ORGANIZED RESEARCH UNIT,CALIT2,28058F,2010,40443,Ubiquity Research and Seminars                                                                                                                        ,80005,DN (SPAWAR) SPACE & NAVAL WARFARE S,SPAWAR,Admin
UCSD,"PATRICK, KEVIN M              ",ORGANIZED RESEARCH UNIT,CALIT2,87484A,2011,40546,CYCORE: Cyberinfrastructure for Comparative Effectiveness Research                                                                                    ,1162293,UNIVERSITY OF TEXAS-M.D. ANDERSON C,NIH,Admin
UCSD,"SMARR, LARRY L                ",ORGANIZED RESEARCH UNIT,CALIT2,31631A,2011,40630,Wildfire Modeling and Prevention Initiative:  Developing a Technical Framework for Integrating Research with Public Policy Decision Support           ,262439,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Admin
UCSD,"LEVY, THOMAS E             ",ORGANIZED RESEARCH UNIT,CALIT2,31676A,2011,40688,Real-time 3D Archaeological Field Recording: Development of an interoperable open-source GIS data entry system.                                           ,50000,"NFAH HUMANITIES, NATIONAL ENDOWMENT",NFAH,Admin
UCSD,"Orcutt, John A",SIO,IGPP                          ,21539A,2001,36904,ITR/IM+AP+SI+PR: Exploring The Environment In Time: Wir,1758079,Ocean Sciences,NSF,Cost Share
UCSD,"Schuller, Ivan K",Physical Sciences,Physics                       ,27318A,2002,37257,MURI 02 Integrated Nanostructured Supersensors,4575929,AFOSR,DOD,Cost Share
UCSD,"Siegel, Paul H",Engnrng    ,ECE          ,21883A,2002,37269,ITR: Information - Theoretic Limits in Data Storage Sys,400000,Computer & Communication Foundations,NSF,Cost Share
UCSD,"Elgamal, Ahmed-Waeil M",Engnrng    ,CSE           ,"26416A,26416B,26416C,26416D",2002,37270,ITR:  Collaborative Research:  An Integrated Framework,2661998,Computer & Network Systems,NSF,Cost Share
UCSD,"Yu, Paul K L",Engnrng    ,ECE          ,"21533A,21533B",2002,37272,Smart RF/Photonic Antennas for Ultra-High Capacity Wire,606250,Computer & Network Systems,NSF,Cost Share
UCSD,"Orlitsky, Alon",Engnrng    ,ECE          ,32444A,2003,37655,Universal Compression of Infinite Alphabets with Applic,428000,Computer & Communication Foundations,NSF,Cost Share
UCSD,"Ferrante, Jeanne",Engnrng    ,CSE           ,82718A,2004,38041,Engineering Projects in Community Service (EPICS) Progr,165000,Undergraduate Education,NSF,Cost Share
UCSD,"Orlitsky, Alon",Engnrng    ,ECE          ,28975A,2005,38392,"Predicting the Unlikely: Theory, Algorithms, and Applic",262974,Computer & Communication Foundations,NSF,Cost Share
UCSD,"MOOKHERJEA, SHAYAN ",SCHOOL OF ENGINEERING,ELECTRICAL & COMPUTER ENGINEERING,28108A,2007,39281, Development of a frequency-comb nearfield infrared spectrometer ,300000,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Cost Share
UCSD,"GUPTA, RAJESH K. ",SCHOOL OF ENGINEERING,COMPUTER SCIENCE & ENGINEERING,28109A,2007,39288,Modeling and Optimization of Thermal and Energy Efficient Processing in Multi-Core System-Chips ,275000,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Cost Share
UCSD,"MOVELLAN, JAVIER R.  ",ORGANIZED RESEARCH UNIT,INSTITUTE FOR NEURAL COMPUTATION,27240A,2009,39955,Cluster for Data Mining Social Behavior ,620836,(ONR) OFFICE OF NAVAL RESEARCH,DOD,Cost Share
UCSD,"WANG, DELI                    ",SCHOOL OF ENGINEERING,ELECTRICAL & COMPUTER ENGINEERING,27239A,2009,39955,Acquisition of Atomic Layer Deposition to Enable Novel Nanoelectronics and Nano-optoelectronics                                                       ,,Department of Defense (DOD) (FD),DOD,Cost Share
UCSD,"REBEIZ, GABRIEL M ",SCHOOL OF ENGINEERING,ELECTRICAL & COMPUTER ENGINEERING,87109A,2009,40021,THz ELECTRONICS FOR TRANSCEIVER ARRAYS (THETA) ,125000,DOD ADVANCED RESEARCH PROJECTS AGENCY (DARPA),DOD,Cost Share
UCSD,"SCHULLER, IVAN",PHYSICAL SCIENCE,PHYSICS ,27769A,2009,40035,Search for New Superconductors for Energy and Power Applications  ,1866667,DAF (AFOSR) AIRFORCE OFFICE OF SCIENCE,DOD,Cost Share
UCSD,"PAPEN, GEORGE C.              ",SCHOOL OF ENGINEERING,ELECTRICAL & COMPUTER ENGINEERING,25248A,2009,40058,MRI: Development of a Scalable Energy Efficient Datacenter (SEED)                                                                                     ,0,(NSF) NATIONAL SCIENCE FOUNDATION,NSF,Cost Share
UCSD,"Ellisman, Mark H",School of Medicine,Neuro                 ,"29914A,29914C,29914D,30162A",2000,36531,IVEM And Image Analysis Resource,18282773,Center for Research Resources,NIH,Other Support
UCSD,"Gribskov, Michael",Engnrng    ,CACSE                         ,"78113B,78113C",2000,36534,NSF/U O Missouri/C532798General Atomic Subk  24.95%,624406,Biological Infrastructure,NSF,Other Support
UCSD,"Vernon, Frank L",SIO,IGPP                          ,32743A,2001,36905,Design & Construction of A Second Generation Buriable B,28575,Ocean Sciences,NSF,Other Support
UCSD,"Yu, Paul K L",Engnrng    ,ECE          ,28015A,2002,37259,Photonic Integrated Circuit for Turnable Optical Domain,155000,DN/SPAWAR,DOD,Other Support
